date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:09	6649572/6649572	---M--	200	added ('OK')	font/woff2	etag:W/%226576e4-17955b7cd15%22	https://zepeto.me/font/NotoSansSC-Bold.woff2	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansSC-Bold.woff2	(from https://zepeto.me/css/zepetome.css)
22:07:10	8716332/8716332	---MCZ	200	added ('OK')	font/otf	etag:W/%2285002c-17955b4eb3a%22	https://zepeto.me/font/NotoSansSC-Bold.otf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansSC-Bold.otf	(from https://zepeto.me/css/zepetome.css)
22:07:10	7607564/7607564	---M--	200	added ('OK')	font/woff	etag:W/%2274150c-17955b7cce8%22	https://zepeto.me/font/NotoSansSC-Bold.woff	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansSC-Bold.woff	(from https://zepeto.me/css/zepetome.css)
22:07:10	3780/3780	---M--	200	added ('OK')	font/ttf	etag:W/%22ec4-17955b4f217%22	https://zepeto.me/font/notosanssc_bold.ttf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanssc_bold.ttf	(from https://zepeto.me/css/zepetome.css)
22:07:10	28234/28234	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226e4a-17955b7d1a7%22	https://zepeto.me/font/notosanssc_black.eot	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanssc_black.eot	(from https://zepeto.me/css/zepetome.css)
22:07:10	28234/28234	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226e4a-17955b4f216%22	https://zepeto.me/font/notosanssc_black.eot?	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanssc_blackd41d.eot	(from https://zepeto.me/css/zepetome.css)
22:07:11	6645068/6645068	---M--	200	added ('OK')	font/woff2	etag:W/%2265654c-17955b4eae9%22	https://zepeto.me/font/NotoSansSC-Black.woff2	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansSC-Black.woff2	(from https://zepeto.me/css/zepetome.css)
22:07:11	8950680/8950680	---MCZ	200	added ('OK')	font/otf	etag:W/%22889398-17955b7cc0f%22	https://zepeto.me/font/NotoSansSC-Black.otf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansSC-Black.otf	(from https://zepeto.me/css/zepetome.css)
22:07:11	7659736/7659736	---M--	200	added ('OK')	font/woff	etag:W/%2274e0d8-17955ba7e1c%22	https://zepeto.me/font/NotoSansSC-Black.woff	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansSC-Black.woff	(from https://zepeto.me/css/zepetome.css)
22:07:11	3788/3788	---M--	200	added ('OK')	font/ttf	etag:W/%22ecc-17955b4f216%22	https://zepeto.me/font/notosanssc_black.ttf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanssc_black.ttf	(from https://zepeto.me/css/zepetome.css)
22:07:12	2982932/2982932	---M--	200	added ('OK')	font/woff2	etag:W/%222d8414-17955b7c8d7%22	https://zepeto.me/font/NotoSansJP-Thin.woff2	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansJP-Thin.woff2	(from https://zepeto.me/css/zepetome.css)
22:07:12	4183752/4183752	---MCZ	200	added ('OK')	font/otf	etag:W/%223fd6c8-17955ba7b0f%22	https://zepeto.me/font/NotoSansJP-Thin.otf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansJP-Thin.otf	(from https://zepeto.me/css/zepetome.css)
22:07:12	27338/27338	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226aca-17955b7d1a3%22	https://zepeto.me/font/notosansjp_light.eot	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosansjp_light.eot	(from https://zepeto.me/css/zepetome.css)
22:07:12	3477976/3477976	---M--	200	added ('OK')	font/woff	etag:W/%223511d8-17955ba7b2c%22	https://zepeto.me/font/NotoSansJP-Thin.woff	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansJP-Thin.woff	(from https://zepeto.me/css/zepetome.css)
22:07:12	27338/27338	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226aca-17955b7d1a3%22	https://zepeto.me/font/notosansjp_light.eot?	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosansjp_lightd41d.eot	(from https://zepeto.me/css/zepetome.css)
22:07:13	4434532/4434532	---MCZ	200	added ('OK')	font/otf	etag:W/%2243aa64-17955ba7a0a%22	https://zepeto.me/font/NotoSansJP-Light.otf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansJP-Light.otf	(from https://zepeto.me/css/zepetome.css)
22:07:13	3242748/3242748	---M--	200	added ('OK')	font/woff2	etag:W/%22317afc-17955ba7a32%22	https://zepeto.me/font/NotoSansJP-Light.woff2	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansJP-Light.woff2	(from https://zepeto.me/css/zepetome.css)
22:07:13	3745896/3745896	---M--	200	added ('OK')	font/woff	etag:W/%22392868-17955b7c75a%22	https://zepeto.me/font/NotoSansJP-Light.woff	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansJP-Light.woff	(from https://zepeto.me/css/zepetome.css)
22:07:13	2992/2992	---M--	200	added ('OK')	font/ttf	etag:W/%22bb0-17955b7d1a3%22	https://zepeto.me/font/notosansjp_light.ttf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosansjp_light.ttf	(from https://zepeto.me/css/zepetome.css)
22:07:13	14/14	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Nov%202021%2013:07:17%20GMT	https://zepeto.me/font/notosansjp_light.svg	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosansjp_light.svg	(from https://zepeto.me/css/zepetome.css)
22:07:13	27638/27638	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226bf6-17955b7d1a4%22	https://zepeto.me/font/notosansjp_regular.eot	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosansjp_regular.eot	(from https://zepeto.me/css/zepetome.css)
22:07:14	27638/27638	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226bf6-17955ba84b9%22	https://zepeto.me/font/notosansjp_regular.eot?	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosansjp_regulard41d.eot	(from https://zepeto.me/css/zepetome.css)
22:07:14	4472168/4472168	---MCZ	200	added ('OK')	font/otf	etag:W/%22443d68-17955b7c802%22	https://zepeto.me/font/NotoSansJP-Regular.otf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansJP-Regular.otf	(from https://zepeto.me/css/zepetome.css)
22:07:14	3348768/3348768	---M--	200	added ('OK')	font/woff2	etag:W/%22331920-17955b7c845%22	https://zepeto.me/font/NotoSansJP-Regular.woff2	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansJP-Regular.woff2	(from https://zepeto.me/css/zepetome.css)
22:07:14	3840120/3840120	---M--	200	added ('OK')	font/woff	etag:W/%223a9878-17955b7c835%22	https://zepeto.me/font/NotoSansJP-Regular.woff	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansJP-Regular.woff	(from https://zepeto.me/css/zepetome.css)
22:07:14	3004/3004	---M--	200	added ('OK')	font/ttf	etag:W/%22bbc-17955b7d1a4%22	https://zepeto.me/font/notosansjp_regular.ttf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosansjp_regular.ttf	(from https://zepeto.me/css/zepetome.css)
22:07:15	14/14	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Nov%202021%2013:07:18%20GMT	https://zepeto.me/font/notosansjp_regular.svg	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosansjp_regular.svg	(from https://zepeto.me/css/zepetome.css)
